rank,billing_npi,name,provider_type,specialty,city,state,zip,total_claims,total_paid
410,1376085100,REDISCOVER,Organization,Community/Behavioral Health,LEES SUMMIT,MO,64086,1971534,213711242.5
411,1942694948,ELITE HHC LLC,Organization,Home Health,BROOKLYN,NY,11223,1191466,213687703.4
412,1992805022,GOVERNMENT OF THE DISTRICT OF COLUMBIA OFFICE OF TAX AND REVENUE,Organization,"Ambulance, Land Transport",WASHINGTON,DC,20009,643891,213401879
413,1366430563,NEW HORIZON COUNSELING CENTER INC,Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",SOUTH OZONE PARK,NY,11420,2346867,213090354.5
414,1497870943,COMMONWEALTH OF MASSACHUSETTS,Organization,Community/Behavioral Health,TEWKSBURY,MA,1876,676686,212829452
415,1609812445,LABONE LLC,Organization,Clinical Medical Laboratory,LENEXA,KS,66219,15295177,212275717.3
416,1043488034,"SOUTHERN HOME CARE SERVICES, INC.",Organization,Home Health,VALDOSTA,GA,31602,3024851,212175915.8
417,1215028931,SAN JOAQUIN BEHAVIORAL HEALTH SERVICES,Organization,Community/Behavioral Health,STOCKTON,CA,95202,3632423,211489378.6
418,1932166386,QUEST DIAGNOSTICS CLINICAL LABORATORIES INC,Organization,Clinical Medical Laboratory,TUCKER,GA,30084,19587798,211134089.7
419,1255365599,MOUNT ROGERS COMMUNITY SERVICES,Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",WYTHEVILLE,VA,24382,1050852,210426117.1
420,1952347791,QUEST DIAGNOSTICS LLC,Organization,Clinical Medical Laboratory,MARLBOROUGH,MA,1752,45938450,209742564
421,1780621904,PARK NICOLLET CLINIC,Organization,Family Medicine,ST LOUIS PARK,MN,55416,6015921,209657270.3
422,1386746592,KENNEDY UNIVERSITY HOSPITAL INC.,Organization,General Acute Care Hospital,STRATFORD,NJ,8084,3869212,209406546.7
423,1356379382,SOUTHEASTERN EMERGENCY PHYSICIANS LLC,Organization,Emergency Medicine,MAYSVILLE,KY,41056,4194505,208943380.3
424,1588855100,TEAM MENTAL HEALTH SERVICES INC.,Organization,"Clinic/Center, Community Health",DETROIT,MI,48207,1682483,208392820.2
425,1568910677,TRADITION CHOICE,Organization,Home Health,BROOKLYN,NY,11218,1456200,208345252.3
426,1760897755,"PHYSICIANS GROUP LABORATORIES, LLC",Organization,Clinical Medical Laboratory,HOUMA,LA,70360,4619179,208133530.8
427,1710006051,COMMONWEALTH OF MASSACHUSETTS-DMH,Organization,Community/Behavioral Health,BROCKTON,MA,2302,544933,208022188.2
428,1467589911,"HELP AT HOME, LLC",Organization,Home Health,MERRILLVILLE BRA,IN,46410,1904928,207858505.7
429,1477628758,"REM RAMSEY, INC.",Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",NORTH SAINT PAUL,MN,55109,756075,207509173
430,1952332801,THE NEW YORK AND PRESBYTERIAN HOSPITAL,Organization,General Acute Care Hospital,NEW YORK,NY,10065,3132313,207366640.1
431,1033370317,"STARLIGHT HOME CARE AGENCY, INC",Organization,Home Health,SADDLE BROOK,NJ,7663,492422,207324061.7
432,1265848675,ELWYN NEW JERSEY,Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",VINELAND,NJ,8360,438522,206621411.7
433,1891832234,COMMUNICARE INC,Organization,Community/Behavioral Health,ELIZABETHTOWN,KY,42701,1847621,206109230.5
434,1669466561,STATE OF CONNECTICUT,Organization,General Acute Care Hospital,FARMINGTON,CT,6030,6309714,205921863.8
435,1366436123,OUR LADY OF THE LAKE HOSPITAL INC.,Organization,General Acute Care Hospital,BATON ROUGE,LA,70808,3827381,205685425
436,1063567691,YUKON-KUSKOKWIM HEALTH CORPORATION,Organization,"General Acute Care Hospital, Rural",BETHEL,AK,99559,1205315,205264788.4
437,1902999022,SATE OF ALABAMA DEPT OF FINANCE,Organization,Public Health or Welfare,MONTGOMERY,AL,36130,2189549,205149604.1
438,1730302829,DEPARTMENT OF DEVELOPMENTAL SERVICES,Organization,Case Management,NORTHAMPTON,MA,1060,321786,204871239.8
439,1538292768,NORTHEAST KINGDOM HUMAN SERVICES INC DS WAIVER,Organization,"Clinic/Center, Developmental Disabilities",NEWPORT,VT,5855,672713,204755691.9
440,1053357905,"ADVANCED RESPIRATORY, INC.",Organization,Durable Medical Equipment & Medical Supplies,SAINT PAUL,MN,55126,295430,204354682.7
441,1710924683,"GROUP HEALTH PLAN, INC.",Organization,"Clinic/Center, Multi-Specialty",MINNEAPOLIS,MN,55407,6118276,204323294.2
442,1730369760,HUMAN CARE SERVICES FOR FAMILIES AND CHILDREN INC,Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",BROOKLYN,NY,11219,612067,203820195.9
443,1902863202,SUPER CARE INC,Organization,"Pharmacy, Community/Retail Pharmacy",CITY OF INDUSTRY,CA,91744,2809039,203693060.7
444,1790994952,"STELLA ORTON HOME CARE AGENCY, INC.",Organization,Home Health,STATEN ISLAND,NY,10306,783292,203245562.7
445,1326288556,"HELPERS, LLC",Organization,Community/Behavioral Health,LENEXA,KS,66214,1929423,202913010.1
446,1225168933,"THE WHOLE PERSON, INC.",Organization,In Home Supportive Care,KANSAS CITY,MO,64111,2752385,202295022.5
447,1568540763,CONTRA COSTA COUNTY,Organization,"Clinic/Center, Federally Qualified Health Center (FQHC)",PITTSBURG,CA,94565,2525560,202196038.5
448,1609849074,"LA MAESTRA FAMILY CLINIC, INC.",Organization,"Clinic/Center, Federally Qualified Health Center (FQHC)",SAN DIEGO,CA,92105,3509617,202136402.4
449,1639138480,"SALTZMAN, TANIS, PITTELL, LEVIN AND JACOBSON",Organization,Pediatrics,HOLLYWOOD,FL,33021,19123619,201288692.2
450,1356408082,"ABOUND HEALTH, LLC",Organization,Community/Behavioral Health,MINT HILL,NC,28227,1398943,201154275.7
451,1194711226,CENTRUS PREMIER HOME CARE INC,Organization,Home Health,PLYMOUTH,MA,2360,678263,200964428.9
452,1205033289,"SAINT BENEDICTS HOME HEALTH, INC.",Organization,Home Health,ROBSTOWN,TX,78380,3948072,200961048.2
453,1508072588,COUNTY OF SOLANO,Organization,Public Health or Welfare,FAIRFIELD,CA,94533,598414,200572129
454,1265515639,NU-WAY HOUSE INC,Organization,Substance Abuse Rehabilitation Facility,MINNEAPOLIS,MN,55404,1386697,200303783
455,1184612764,THE QUEENS MEDICAL CENTER,Organization,General Acute Care Hospital,HONOLULU,HI,96813,2466453,200025637.8
456,1396886297,CHILDREN'S SPECIALIZED HOSPITAL,Organization,"Rehabilitation Hospital, Children",NEW BRUNSWICK,NJ,8901,1071305,199938874.6
457,1194062448,QUEST DIAGNOSTICS MASSACHUSETTS LLC,Organization,Clinical Medical Laboratory,MARLBOROUGH,MA,1752,17471892,199858546.9
458,1952390239,CHARLESTON AREA MEDICAL CENTER INC,Organization,General Acute Care Hospital,CHARLESTON,WV,25301,4024224,199836981.8
459,1437458437,"PHOENIX HOME CARE, LLC",Organization,Nursing Care,SPRINGFIELD,MO,65804,733284,199636917.5
460,1720011810,BANNER DESERT MEDICAL CENTER,Organization,General Acute Care Hospital,MESA,AZ,85202,3868184,199618075.4
461,1659330686,HELEN ROSS MCNABB CENTER,Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",KNOXVILLE,TN,37912,2676880,198849836.1
462,1942576905,VAV OPERATIONS LLC,Organization,Community/Behavioral Health,SOUTH BEND,IN,46614,482306,198705710.5
463,1750827127,IMMIGRANT ELDER HOME CARE LLC,Organization,Home Health,WOODSIDE,NY,11377,1166366,198264655.1
464,1346243375,"ROBERT WOOD JOHNSON UNIVERSITY HOSPITAL, INC",Organization,General Acute Care Hospital,NEW BRUNSWICK,NJ,8901,2702345,198255360.1
465,1366543795,NORTHWELL HEALTH LABORATORIES,Organization,Clinical Medical Laboratory,NEW HYDE PARK,NY,11042,10616684,198238416
466,1447359997,OHIO STATE UNIVERSITY HOSPITALS,Organization,General Acute Care Hospital,COLUMBUS,OH,43210,4103101,197865657.2
467,1518903350,QUEST DIAGNOSTICS CLINICAL LABORATORIES INC,Organization,Clinical Medical Laboratory,MIRAMAR,FL,33025,24341922,197582867.1
468,1629141213,PEDIATRIC HOME RESPIRATORY SERVICES LLC,Organization,Durable Medical Equipment & Medical Supplies,ROSEVILLE,MN,55113,1144589,197481598.9
469,1053821728,"ABS UTAH, P.C.",Organization,Community/Behavioral Health,SALT LAKE CITY,UT,84115,654249,197189859.6
470,1699984724,FRIENDLY HOME CARE,Organization,Home Health,BROOKLYN,NY,11235,1248002,196727809.7
471,1134632599,SWINOMISH HEALTH SERVICES,Organization,"Clinic/Center, Rehabilitation, Substance Use Disorder",ANACORTES,WA,98221,832481,195928568.5
472,1346564127,"TEAMSELECT HOME CARE OF COLORADO, LLC",Organization,Home Health,AURORA,CO,80014,2458337,195342935.9
473,1871647115,COUNTY OF SONOMA,Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",SANTA ROSA,CA,95407,627961,195090095.5
474,1174680557,OHIOGUIDESTONE,Organization,Community/Behavioral Health,BEREA,OH,44017,2216965,195022003.9
475,1265820179,BANNER - UNIVERSITY MEDICAL CENTER TUCSON CAMPUS LLC,Organization,General Acute Care Hospital,TUCSON,AZ,85719,3550797,194417422.5
476,1104986017,"LUTHERAN FAMILY SERVICES OF VIRGINIA, INC.",Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",LYNCHBURG,VA,24501,32409,194342716.4
477,1598793671,"SEVEN COUNTIES SERVICES, INC.",Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",LOUISVILLE,KY,40223,2375545,194182598.7
478,1548602378,QUEENS HOMECARE AGENCY,Organization,Home Health,NEW YORK,NY,10038,1380277,194030722.9
479,1699782722,AEGIS SCIENCES CORPORATION,Organization,Clinical Medical Laboratory,NASHVILLE,TN,37228,7411693,193810663
480,1942304126,NEW RIVER VALLEY COMMUNITY SERVICES,Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",BLACKSBURG,VA,24060,930786,193801440
481,1083810055,"PAS-PERSONAL ACCOUNTING SERVICES, INC.",Organization,Contractor,TAYLOR,MI,48180,1808348,192742246
482,1669562328,"XINCON HOME-HEALTHCARE SERVICES, INC.",Organization,Home Health,NEW YORK,NY,10001,1477111,192165526.7
483,1568512770,"REGION VIII, ONE SKY COMMUNITY SERVICES INC.",Organization,Case Management,PORTSMOUTH,NH,3801,650551,192142597.4
484,1396716858,"HEALTH MANAGMENT OF KANSAS, INC.",Organization,Home Health,COFFEYVILLE,KS,67337,2310507,192131540.3
485,1396822839,"SAMARITAN DAYTOP VILLAGE, INC.",Organization,Substance Abuse Rehabilitation Facility,RICHMOND HILL,NY,11418,1448129,191804343.3
486,1205927928,"UNIVERSAL REHABILITATION AND FITNESS, INC.",Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",LIVINGSTON,NJ,7039,824169,191010017.5
487,1962461889,UNIVERSITY PHYSICIANS INCORPORATED,Organization,Internal Medicine,AURORA,CO,80045,3200864,190650224.1
488,1780639971,"DHHS, PHS, NAIHS, SHIPROCK HOSPITAL",Organization,General Acute Care Hospital,SHIPROCK,NM,87420,430719,190581941.4
489,1104982917,ST LUKES ROOSEVELT HOSPITAL CENTER,Organization,General Acute Care Hospital,NEW YORK,NY,10019,2823800,190494081.7
490,1245305416,"DAC, INC",Organization,Community/Behavioral Health,MAQUOKETA,IA,52060,352151,189664281.5
491,1255868915,BARI HOME CARE LLC,Organization,Health Maintenance Organization,RONKONKOMA,NY,11779,1195439,189660524.9
492,1104202761,VANDERBILT UNIVERSITY MEDICAL CENTER,Organization,Internal Medicine,NASHVILLE,TN,37232,3377658,189387729.8
493,1306182548,"ALIVIA SPECIALTY, LLC",Organization,"Pharmacy, Specialty Pharmacy",GUAYNABO,PR,934,105104,188981224.2
494,1306912282,"REM HENNEPIN, INC.",Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",MINNEAPOLIS,MN,55430,668600,188886317.4
495,1376526616,"EASTERSEALS MORC HEALTH CARE, INC.",Organization,"Psychiatry & Neurology, Psychiatry",AUBURN HILLS,MI,48326,1720509,188329379.4
496,1467492421,"ST ELIZABETH MEDICAL CENTER, INC",Organization,General Acute Care Hospital,EDGEWOOD,KY,41017,4271419,188250923.2
497,1558410233,LINDLEY HABILITATION SERVICES INC,Organization,Community/Behavioral Health,GREENSBORO,NC,27410,1336885,187996314.2
498,1003803032,WAKE FOREST UNIVERSITY HEALTH SCIENCES,Organization,"Clinic/Center, Multi-Specialty",WINSTON SALEM,NC,27157,7289003,187983111.7
499,1609807122,SPARTANBURG MEDICAL CENTER,Organization,General Acute Care Hospital,SPARTANBURG,SC,29303,3806991,187762033.5
500,1073608998,"ORSINI PHARMACEUTICAL SERVICES, LLC",Organization,"Pharmacy, Specialty Pharmacy",ELK GROVE VILLAGE,IL,60007,29739,187472847.2
501,1487608485,"SPECTRUM HEALTH SYSTEMS, INC",Organization,"Counselor, Addiction (Substance Use Disorder)",WORCESTER,MA,1605,7479414,187394552.6
502,1174610075,STATE OF OKLAHOMA DEPT. OF HUMAN SERVICES,Organization,Case Management,OKLAHOMA CITY,OK,73125,814826,187336349
503,1396750188,"NYSTROM & ASSOCIATES, LTD",Organization,"Social Worker, Clinical",NEW BRIGHTON,MN,55112,2228875,186856558.4
504,1437533627,DANE COUNTY DEPARTMENT OF HUMAN SERVICES,Organization,Community/Behavioral Health,MADISON,WI,53704,1838169,186854718.6
505,1073599478,LABORATORY CORPORATION OF AMERICA,Organization,Clinical Medical Laboratory,SEATTLE,WA,98122,17061269,186689145
506,1184602518,PRENTKE ROMICH COMPANY,Organization,"Durable Medical Equipment & Medical Supplies, Customized Equipment",WOOSTER,OH,44691,76767,186680358.3
507,1629282272,"CENTRAL BOSTON ELDER SERVICES, INC.",Organization,Case Management,ROXBURY,MA,2119,1853772,186664285.7
508,1043295934,HOPE NETWORK BEHAVIORAL HEALTH SERVICES,Organization,"Community Based Residential Treatment Facility, Mental Illness",NUNICA,MI,49448,534955,186629798.5
509,1689639544,"HEALTHTRACKRX INDIANA, INC",Organization,Clinical Medical Laboratory,DENTON,TX,76207,6668299,186018381.1
510,1093787095,"JUSTICE RESOURCE INSTITUTE, INC",Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",ACTON,MA,1720,1950809,185795247.7
511,1114924834,SAINT PETER'S UNIVERSITY HOSPITAL,Organization,General Acute Care Hospital,NEW BRUNSWICK,NJ,8901,3091773,185493396.4
512,1619105244,COMMUNITY PHYSICIANS OF INDIANA INC,Organization,Family Medicine,INDIANAPOLIS,IN,46256,4492541,185264697.5
513,1801920111,"CIRCLE OF LIFE HOME CARE ANISHINAABE, LLC",Organization,Home Health,SHOREVIEW,MN,55126,2118463,184771602.7
514,1427267806,"WESTERN NEW YORK INDEPENDENT LIVING, INC.",Organization,Case Management,BUFFALO,NY,14214,1385277,184378248
515,1588611842,"INTERBOROUGH DEVELOPMENTAL AND CONSULTATION CENTER, INC.",Organization,Case Management,BROOKLYN,NY,11229,1469958,184364066.1
516,1275672057,MONADNOCK DEVELOPMENTAL SERVICES,Organization,"Respite Care, Respite Care, Intellectual and/or Developmental Disabilities, Child",KEENE,NH,3431,699937,184126063.8
517,1518094176,EASY LIVING INC.,Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",SPRINGFIELD,MO,65807,361667,183015349.9
518,1225110497,"ACCU REFERENCE MEDICAL LAB, LLC",Organization,Clinical Medical Laboratory,LINDEN,NJ,7036,12016657,183007871.7
519,1992092274,PERSPECTIVES CORPORATION,Organization,"Day Training, Developmentally Disabled Services",NORTH KINGSTOWN,RI,2852,119574,182856173.1
520,1740353861,SANTA BARBARA COUNTY AUDITOR,Organization,Counselor,SANTA BARBARA,CA,93110,2035763,182706936.8
521,1588712020,"GENETIC DISEASE SCREENING PROGRAM, STATE OF CA",Organization,Clinical Medical Laboratory,RICHMOND,CA,94804,925570,182456074.8
522,1831263110,TOBII DYNAVOX LLC,Organization,Durable Medical Equipment & Medical Supplies,CORAOPOLIS,PA,15108,63568,182091632.1
523,1861447179,"AURORA HEALTH CARE METRO, INC.",Organization,General Acute Care Hospital,MILWAUKEE,WI,53215,7447014,182029810.4
524,1720319726,"BEST CHOICE HOME HEALTH CARE, INC.",Organization,Home Health,BROOKLYN,NY,11238,986720,181657233.9
525,1285621623,PIKEVILLE MEDICAL CENTER INC,Organization,General Acute Care Hospital,PIKEVILLE,KY,41501,4310485,181382124.6
526,1609261478,"QUALITY FAMILY CARE, LLC.",Organization,Home Health,BROOKLYN,NY,11230,1303355,180708141.3
527,1538471800,VHS CHILDRENS HOSPITAL OF MICHIGAN INC,Organization,"General Acute Care Hospital, Children",DETROIT,MI,48201,3915408,180238665
528,1275604977,COUNTY OF SACRAMENTO,Organization,Community/Behavioral Health,SACRAMENTO,CA,95823,5978106,180199793.1
529,1619047131,"FEGS HOME ATTENDANT SERVICES, INC.",Organization,Home Health,BRONX,NY,10455,898925,180186829.8
530,1073997680,"TRI-MED STAFFING, INC.",Organization,Home Health,HEWLETT,NY,11557,1164465,179976482.3
531,1578554630,SUNY HEALTH SCIENCE CENTER AT SYRACUSE,Organization,General Acute Care Hospital,SYRACUSE,NY,13210,3290130,179830984.5
532,1861554438,"UNIVERSITY MEDICAL CENTER, INC",Organization,General Acute Care Hospital,LOUISVILLE,KY,40202,2408658,179414718.8
533,1134452865,FAST PACE MEDICAL CLINIC PLLC,Organization,Family Medicine,SPRING HILL,TN,37174,5481077,179414627.5
534,1255451597,MEDICAL ASSOCIATES OF EBNHC,Organization,"Clinic/Center, Community Health",EAST BOSTON,MA,2128,3014616,179326388.4
535,1043224355,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,Organization,General Acute Care Hospital,BROOKLYN,NY,11203,3786979,178841758.4
536,1184780629,"VOCA CORPORATION OF WEST VIRGINIA, INC.",Organization,"Clinic/Center, Developmental Disabilities",PRINCETON,WV,24740,142124,178326930.6
537,1356357115,WASATCH BEHAVIORAL HEALTH SPECIAL SERVICE DISTRICT,Organization,Community/Behavioral Health,PROVO,UT,84601,1898120,178229846.5
538,1245370717,JAMAICA HOSPITAL,Organization,General Acute Care Hospital,RICHMOND HILL,NY,11418,3580920,178141487.4
539,1518032622,"INDIANA UNIVERSITY HEALTH, INC",Organization,"Pharmacy, Home Infusion Therapy Pharmacy",INDIANAPOLIS,IN,46204,945066,178125874.5
540,1295789907,CAROLINAS MEDICAL CENTER,Organization,General Acute Care Hospital,CHARLOTTE,NC,28203,3108568,177746600.2
541,1104997121,DETROIT AREA AGENCY ON AGING,Organization,Case Management,DETROIT,MI,48207,2583623,177637742.7
542,1710918545,REGENTS OF THE UNIVERSITY OF CALIFORNIA,Organization,General Acute Care Hospital,SACRAMENTO,CA,95817,2705327,177545212.3
543,1972655991,MOSAIC,Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",URBANDALE,IA,50322,124202,177402110.7
544,1558535013,ALWAYS HOME CARE INC,Organization,Home Health,WEST NEW YORK,NJ,7093,2017036,177277886.7
545,1972662328,"COMMUNITY CROSSROADS, INC.",Organization,Case Management,ATKINSON,NH,3811,945003,177008500
546,1215375985,"INTERNATIONAL HOME CARE SERVICES OF NY, LLC",Organization,Home Health,REGO PARK,NY,11374,1101876,176735544.8
547,1831220714,INOVA HEALTH CARE SERVICES,Organization,General Acute Care Hospital,FALLS CHURCH,VA,22042,2860436,176675235.5
548,1033154026,"UNIVERSITY OF CINCINNATI MEDICAL CENTER, LLC",Organization,General Acute Care Hospital,CINCINNATI,OH,45219,3755175,176532494.6
549,1073535027,NEW YORK CITY HEALTH AND HOSPITALS CORPORATION,Organization,General Acute Care Hospital,NEW YORK,NY,10016,3438615,176327486.3
550,1629357629,"PARENT CARE HOME CARE, LLC",Organization,Home Health,BROOKLYN,NY,11211,1082835,176231607.7
551,1336234194,APRIA HEALTHCARE LLC,Organization,Durable Medical Equipment & Medical Supplies,INDIANAPOLIS,IN,46237,2984969,176202881
552,1972598449,COUNTY OF SANTA CLARA,Organization,"Clinic/Center, Federally Qualified Health Center (FQHC)",SAN JOSE,CA,95128,1389652,175858802.3
553,1999999984,NOT FOUND,,,,,,7882006,175814218.5
554,1881061695,"INTEGRATED HOME CARE SERVICES, INC.",Organization,Case Management,MIRAMAR,FL,33025,4732853,175737981.8
555,1750358297,CITY OF HOPE NATIONAL MEDICAL CENTER,Organization,General Acute Care Hospital,DUARTE,CA,91010,1273291,175720756.6
556,1255523494,"MULBERRY STREET MANAGEMENT SERVICES, INC.",Organization,In Home Supportive Care,MORGANTOWN,WV,26508,789594,175627726.5
557,1871540237,VARIETY CHILDREN'S HOSPITAL,Organization,"General Acute Care Hospital, Children",MIAMI,FL,33155,1625065,175320723
558,1639686793,ANCHOR HEALTH HOMECARE SERVICES INC,Organization,Home Health,BROOKLYN,NY,11213,977319,174640204.2
559,1306938071,"ADVENTIST HEALTH SYSTEM-SUNBELT, INC",Organization,General Acute Care Hospital,ORLANDO,FL,32803,7596642,173979588.2
560,1104931625,"CHIMES METRO, INC.",Organization,"Psychologist, Intellectual & Developmental Disabilities",NEWARK,DE,19711,823210,173976280.8
561,1508124488,"COMMUNITY BRIDGES, INC.",Organization,Community/Behavioral Health,MESA,AZ,85202,4161737,172944106.6
562,1427182286,NORTHERN HUMAN SERVICES,Organization,Early Intervention Provider Agency,CONWAY,NH,3818,853277,172908169.7
563,1447275037,"SOUTHCOAST HOSPITALS GROUP, INC",Organization,General Acute Care Hospital,NEW BEDFORD,MA,2740,4878292,172795577.2
564,1427343219,CABS HOME ATTENDANTS SERVICE INC.,Organization,Home Health,BROOKLYN,NY,11206,779151,172746561.8
565,1194020370,"COMMUNITY ALTERNATIVES VIRGINIA, INC.",Organization,Community/Behavioral Health,FOREST,VA,24551,22926,172726465.7
566,1922335843,"1ST CHOICE HOME CARE SERVICES, INC",Organization,Home Health,BROOKLYN,NY,11214,1052239,172281255
567,1689778953,SAGINAW COUNTY COMMUNITY MENTAL HEALTH AUTHORITY,Organization,Community/Behavioral Health,SAGINAW,MI,48602,797441,172173555.1
568,1295763217,PRISMA HEALTH UNIVERSITY MEDICAL GROUP,Organization,Family Medicine,GREENVILLE,SC,29607,3035472,172150510.3
569,1366594699,THE NEMOURS FOUNDATION,Organization,"Clinic/Center, Multi-Specialty",WILMINGTON,DE,19803,2853265,172062054.8
570,1700087590,ALAMEDA HEALTH SYSTEM,Organization,General Acute Care Hospital,OAKLAND,CA,94602,4052086,172033330.3
571,1093789901,"MEDCO RESPIRATORY INSTRUMENTS, INC.",Organization,Durable Medical Equipment & Medical Supplies,HOUSTON,TX,77095,1601843,171568602
572,1851781314,"AMERICAN MEDICAL RESPONSE OF MARICOPA, LLC",Organization,Ambulance,MESA,AZ,85201,948049,171283719.2
573,1255314704,LABORATORY CORPORATION OF AMERICA,Organization,Clinical Medical Laboratory,TAMPA,FL,33607,37608686,171132435
574,1063839322,"EIHAB HUMAN SERVICES NEW JERSEY, INC.",Organization,In Home Supportive Care,HOWELL,NJ,7731,398224,171052911
575,1912021452,"RESCARE, INC",Organization,Community/Behavioral Health,FAIRFIELD,IA,52556,930002,170956680.2
576,1932570595,"THE ARC OF OAKLAND COUNTY, INC",Organization,Voluntary or Charitable,TROY,MI,48084,1370337,170823209.4
577,1962587071,CONTRA COSTA COUNTY,Organization,"Clinic/Center, Federally Qualified Health Center (FQHC)",SAN PABLO,CA,94806,2030737,170808263.4
578,1104847946,THE PROVIDENCE CENTER INC,Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",PROVIDENCE,RI,2904,1616350,170758161.8
579,1467538520,BAKERSFIELD MEMORIAL HOSPITAL,Organization,General Acute Care Hospital,BAKERSFIELD,CA,93301,2383944,170747346.8
580,1396765681,SUMMA HEALTH SYSTEM,Organization,General Acute Care Hospital,AKRON,OH,44304,3710689,170729548.7
581,1679279046,FISHING POINT HEALTH CARE LLC,Organization,General Practice,PORTSMOUTH,VA,23707,139427,169838122
582,1063833358,ALL HEART HOMECARE AGENCY,Organization,Home Health,BROOKLYN,NY,11229,994795,169732236
583,1386703304,"BEHAVIORAL HEALTH AND DEVELOPMENTAL SERVICES OF STRAFFORD COUNTY, INC",Organization,Case Management,DOVER,NH,3820,688223,169664870.3
584,1104024926,"SUNNYSIDE HOME CARE PROJECT, INC.",Organization,Home Health,LONG ISLAND CITY,NY,11104,770703,169641840.8
585,1205813540,"CHILD & FAMILY SERVICES, INC.",Organization,"Counselor, Mental Health",NEW BEDFORD,MA,2740,1630436,169569445.6
586,1376623538,KERN COUNTY HOSPITAL AUTHORITY,Organization,General Acute Care Hospital,BAKERSFIELD,CA,93306,2746824,169300885.2
587,1205293321,JMD CARE SERVICES INC,Organization,Home Health,WESTBURY,NY,11590,1013717,169038811.8
588,1528144318,FRIENDSHIP COMMUNITY CARE INC.,Organization,"Clinic/Center, Rehabilitation, Comprehensive Outpatient Rehabilitation Facility (CORF)",RUSSELLVILLE,AR,72801,2351816,168981642.5
589,1295937712,"LIFESKILLS, INC",Organization,Community/Behavioral Health,BOWLING GREEN,KY,42103,1424348,168888495.4
590,1063630838,DEPARTMENT OF MENTAL HEALTH,Organization,Community/Behavioral Health,WORCESTER,MA,1604,623421,168780836.2
591,1548347156,OPTION 1 NUTRITION SOLUTIONS LLC,Organization,"Durable Medical Equipment & Medical Supplies, Parenteral & Enteral Nutrition",DENVER,CO,80239,922782,168526474
592,1043267107,VOLUNTEER BEHAVIORAL HEALTH CARE SYSTEM,Organization,Counselor,MURFREESBORO,TN,37129,4091213,168306108.7
593,1396812897,"ASTROCARE CLASS, INC.",Organization,Home Health,HOUSTON,TX,77060,1264756,168037723.3
594,1811044878,WILLIAM BEAUMONT HOSPITAL,Organization,Hospitalist,ROYAL OAK,MI,48073,3961907,168035919.3
595,1669423380,MAINEGENERAL MEDICAL CENTER,Organization,General Acute Care Hospital,AUGUSTA,ME,4330,4791823,167777037.8
596,1134165970,LABONE OF OHIO INC,Organization,Clinical Medical Laboratory,CINCINNATI,OH,45237,11892402,167169121.9
597,1033591003,EDEN AUTISM SERVICES.,Organization,"Day Training, Developmentally Disabled Services",PRINCETON,NJ,8540,444158,167037729.9
598,1811973100,OCHSNER CLINIC FOUNDATION,Organization,General Acute Care Hospital,NEW ORLEANS,LA,70121,3914418,166973750.3
599,1376675785,SOUTH DAKOTA ACHIEVE,Organization,"Clinic/Center, Developmental Disabilities",SIOUX FALLS,SD,57105,419003,166942970.2
600,1164577391,SPECTRUM COMMUNITY SERVICES,Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",WESTLAND,MI,48185,852318,166706396
601,1831449370,CLARK COUNTY DEPARTMENT OF FAMILY SERVICES,Organization,Case Management,LAS VEGAS,NV,89106,325120,166586328.5
602,1932472107,NORTH SHORE UNIVERSITY HOSPITAL,Organization,Case Management,NEW HYDE PARK,NY,11042,505760,166534127.7
603,1821032913,NEW VISTA OF THE BLUEGRASS INC,Organization,"Clinic/Center, Mental Health (Including Community Mental Health Center)",VERSAILLES,KY,40383,1263610,166380906.2
604,1629137575,DEPARTMENT OF BEHAVIORAL HEALTH,Organization,"Social Worker, Clinical",FRESNO,CA,93702,3936771,166252392
605,1477814879,"SCIOTO COUNTY COUNSELING CENTER, INC",Organization,"Counselor, Addiction (Substance Use Disorder)",PORTSMOUTH,OH,45662,1385194,166137609.9
606,1881058071,ALL AMERICAN HOMECARE AGENCY INC.,Organization,Home Health,BROOKLYN,NY,11235,1010751,166008805
607,1104991066,"REM RIVER BLUFFS, INC.",Organization,"Community Based Residential Treatment Facility, Intellectual and/or Developmental Disabilities",ROCHESTER,MN,55904,653524,165769772.6
